video,track_id,class_id,n_det,t_start,t_end,duration_s,conf_median,box_h_median,box_h_max,aspect_median,u_rel_median,u_rel_first,u_rel_last,d_rel_median,x_center_med,x_center_p10,x_center_p90,x_inner_med,x_inner_absmin,z_med,z_min,z_first,z_last,v_along_med,v_along_p10,v_along_p90,v_lat_med,v_lat_absmed,frac_static,frac_cross,frac_same,frac_opposite,ego_speed_med,ego_moving_frac,closing_med,frac_trunc_bottom,frac_trunc_side,enter_edge,exit_edge,log_growth,x_at_min_z,x_inner_at_min_z,frac_close_pass,v_along_ratio,v_lat_ratio,det_rate,aspect_p90,geom_valid_frac,abs_x_at_min_z,world_speed,world_heading_deg,world_heading_abs,world_speed_ratio,world_fit_span_s,view_rear,view_front,view_side,emergency,n_crops,world_speed_fit,heading_fit_deg,heading_fit_abs,depth_z_min,depth_z_med,depth_x_med,depth_x_at_min_z,world_speed_med,world_speed_p90,frac_world_static,heading_abs_med,frac_heading_same,frac_heading_opposite,frac_heading_crossing,lines_between_med,lines_between_min,yellow_between_max,dist_to_line_med,n_depth_samples,p_separated_path,p_bike_lane,p_shared_road,scene,static_neighbours,rule_relation,ride_scene,relation,relation_confidence,proba_adjacent_same,proba_cross_side,proba_ego_lane,proba_oncoming,proba_parked,relation_source,group
VID_20260223_090217_00_003,1,2,17,0.0,1.3333333730697632,1.3333333730697632,0.9040395021438599,210.769775390625,275.1110534667969,2.3923285007476807,-0.31311876783927123,-0.09078357229788937,-0.505450811089673,0.14344942569732666,-4.102006308938061,-4.89064073234527,-2.4398151792910334,-2.3850650890228193,0.13088434267920496,4.724725723266602,3.508862257003784,7.726377964019775,3.8055171966552734,-3.234480205372232,-4.430274005646149,-1.8812633762379818,-4.681339152497762,4.681339152497762,0.0,1.0,0.0,0.9411764705882353,0.018335796992084482,0.0,3.252816002364317,0.0,0.35294117647058826,0.0,1.0,0.6535729765892029,-4.743053104161278,-4.3267506440329,0.29411764705882354,-6.468960410744464,9.362678304995525,12.75,2.436994791030884,1.0,4.743053104161278,3.877124033520168,-143.88053441670277,143.88053441670277,7.754248067040336,1.3333333730697632,0.0023740595,0.26833734,0.7292886,0.00019415411,2.0,,,,,,,,,,,,,,,,,,,3.0,0.021647777408361435,0.03083979245275259,0.9475124329328537,shared_road,0.0,oncoming,shared_road,parked,0.4257228153677771,0.1619581969913601,0.29368648493838984,0.008971613324814918,0.10966088937765799,0.4257228153677771,gradient_boosting,parked
VID_20260223_090217_00_003,2,2,35,0.0,2.8333332538604736,2.8333332538604736,0.7426685690879822,29.5836181640625,38.95751953125,1.464977502822876,0.07362949838082157,0.02789553791125776,0.20980108226197233,0.01702573522925377,7.619865290396531,1.0459323353807524,19.901587004478635,6.516348931820965,0.0,39.807926177978516,28.455928802490234,28.455928802490234,34.4001579284668,8.89468501032537,-0.12986846288575316,13.963175532657573,4.415648310846209,4.415648310846209,0.02857142857142857,0.17142857142857143,0.8857142857142857,0.08571428571428572,0.556761695411262,0.2,-8.391741038744602,0.0,0.0,0.0,0.0,-0.5523993968963623,2.200990189908723,0.7564926115331977,0.42857142857142855,15.975748841261703,7.930948460066944,12.352941513061523,1.6472497463226319,1.0,2.200990189908723,12.351914398217609,45.19598759887417,45.19598759887417,22.1852805248997,2.8333332538604736,,,,,,,,,,,,,,,,,,,,,,,,6.0,0.02051766812801361,0.04512372389435768,0.9343586087226867,shared_road,0.0,ego_lane,shared_road,ego_lane,0.9962779241100987,0.0014848155754140216,0.0011444639147987045,0.9962779241100987,9.496769776099327e-05,0.0009978287019275138,gradient_boosting,in_my_lane
VID_20260223_090217_00_003,3,2,34,0.0,2.75,2.75,0.387589693069458,16.13568115234375,23.522705078125,1.4891583919525146,0.03913214196602664,-0.008723807435828826,0.1467314364207759,0.010496223345398903,8.677588680502726,-3.0058482094658245,24.778457378544303,7.354142742921752,0.2824814641414827,64.57310104370117,44.29375076293945,44.29375076293945,81.10713958740234,9.594550256841583,-2.307839980986144,24.337799405251683,5.745902916185388,5.745902916185388,0.0,0.29411764705882354,0.8235294117647058,0.11764705882352941,0.48805833359644946,0.17647058823529413,-9.011371701187729,0.0,0.0,0.0,0.0,-0.3844851851463318,-1.071418476370938,-0.2824814641414827,0.29411764705882354,19.189100513683165,11.491805832370776,12.363636016845703,1.5924033403396607,1.0,1.071418476370938,15.455643730189562,50.69925573931797,50.69925573931797,30.911287460379125,2.75,,,,,,,,,,,,,,,,,,,,,,,,6.0,0.02051766812801361,0.04512372389435768,0.9343586087226867,shared_road,0.0,cross_side,shared_road,cross_side,0.3346471730688114,0.23145637711850808,0.3346471730688114,0.29545289088826004,0.010633543496338566,0.1278100154280819,gradient_boosting,not_sharing
VID_20260223_090217_00_003,4,2,63,0.25,5.5,5.25,0.7170565724372864,58.033966064453125,87.758544921875,1.1461102962493896,0.16677829071737596,-0.0532721282060925,0.5100220396528586,0.038616593927145004,9.439320783154246,-3.91693734007683,19.353930412100272,8.523049432234215,0.0,17.55098533630371,10.227518081665039,25.212514877319336,14.23251724243164,-0.7840612750961006,-6.913303151885332,5.534428844623025,2.6104445689558213,2.6104445689558213,0.047619047619047616,0.4444444444444444,0.36507936507936506,0.47619047619047616,2.119691709962298,0.6031746031746031,1.6140374463504001,0.0,0.12698412698412698,0.0,1.0,0.5396970510482788,12.786244082645378,12.193070719058143,0.12698412698412698,-0.36989401402624084,1.2315208653631298,12.0,1.3042967319488525,1.0,12.786244082645378,5.855650599057456,105.25847163559355,105.25847163559355,2.7625010616103265,5.25,0.00020979324,0.9896605,0.010129703,0.08882044,2.0,,,,,,,,,,,,,,,,,,,11.0,0.07676068842411041,0.0605000801384449,0.8627392292022705,shared_road,0.0,cross_side,shared_road,parked,0.5381226667505052,0.131487367921953,0.2961301920369636,0.004705675896017242,0.029554097394560892,0.5381226667505052,gradient_boosting,parked
VID_20260223_090217_00_003,5,2,70,0.5,6.5,6.0,0.8252526521682739,51.698455810546875,81.78067016601562,1.3075156211853027,0.3406294543669609,-0.0992526452755912,0.46607232565445644,0.035312674939632416,13.038819412316522,-7.918037995042331,21.6027337903697,12.381569772076013,0.0,19.193126678466797,13.007984161376953,29.603771209716797,19.944849014282227,0.2570374508514819,-6.728023966474478,7.0196439361039005,2.9400200178618356,2.9400200178618356,0.043478260869565216,0.5217391304347826,0.36231884057971014,0.391304347826087,2.6731675841150575,0.6857142857142857,1.8552802107289423,0.0,0.1,0.0,1.0,0.6861149072647095,14.023731973685479,13.38234467870713,0.17142857142857143,0.0961546340674235,1.0998263017000929,11.666666984558105,1.3847126126289369,1.0,14.023731973685479,6.09835797836334,93.23687106807695,93.23687106807695,2.281322732851476,6.0,0.00046340446,0.99304914,0.006487327,0.0028406777,1.0,,,,,,,,,,,,,,,,,,,12.0,0.10968182757496833,0.07746891155838967,0.8128492593765259,shared_road,0.0,cross_side,shared_road,parked,0.5551696701576011,0.15042039009556313,0.25416913917051837,0.0065484377130621075,0.033692362863255276,0.5551696701576011,gradient_boosting,parked
VID_20260223_090217_00_003,7,2,9,3.0,3.6666667461395264,0.6666667461395264,0.4860532879829407,24.50860595703125,26.3834228515625,1.3017041683197021,0.4213758825387545,0.3306681778495029,0.5350679860973869,0.03667045757174492,21.168257907676775,19.157914942139602,27.1703270960815,20.79377638111133,18.239534695074916,18.482431411743164,16.771615982055664,24.519235610961914,20.911174774169922,-1.813132877653508,-1.813132877653508,-1.8046618776488643,9.011206966595632,9.011206966595632,0.0,1.0,0.0,1.0,2.6731675841150575,1.0,4.486300461768566,0.0,0.0,0.0,0.0,0.27838414907455444,21.168257907676775,20.79377638111133,0.0,-0.6782713094486889,3.3709846775576398,13.499998092651367,1.553556251525879,1.0,21.168257907676775,15.171381565489842,106.27727862777542,106.27727862777542,5.6754322683111065,0.6666667461395264,,,,,,,,,,,,,,,,,,,,,,,,2.0,0.10968182757496833,0.07746891155838967,0.8128492593765259,shared_road,0.0,cross_side,shared_road,cross_side,0.756387798578039,0.06327379418348131,0.756387798578039,0.005615844222245419,0.0025057068925118412,0.17221685612372253,gradient_boosting,not_sharing
VID_20260223_090217_00_003,9,2,38,3.8333332538604736,6.916666507720947,3.0833332538604736,0.5658426284790039,21.585342407226562,25.840179443359375,1.4350275993347168,0.3461265836723091,0.43488922295878185,0.31777858264733255,0.014740785583853722,46.421375699822164,38.005913357171806,50.68139092643124,45.35189444505997,34.75251706396019,45.97964859008789,36.83233642578125,36.83233642578125,40.32126998901367,1.7046258796127194,-1.8198260143241671,11.316718216257142,2.0676033174725132,3.4613996057990386,0.0,0.5263157894736842,0.5263157894736842,0.13157894736842105,3.6444860423854077,1.0,3.0727817075960173,0.0,0.0,0.0,0.0,0.2555699050426483,44.413861675784645,43.59207535115839,0.0,0.4677273721967663,0.9497634414133922,12.324324607849121,1.5815101861953735,1.0,44.413861675784645,6.042367679158692,-58.94741164789001,58.94741164789001,1.6579478173015065,3.0833332538604736,,,,,,,,,,,,,,,,,,,,,,,,6.0,0.32143388986587523,0.1027771383523941,0.5757889539003372,shared_road,0.0,cross_side,shared_road,parked,0.9363644801957163,0.029534492259373366,0.02947099415273112,0.004062159544563945,0.000567873847615252,0.9363644801957163,gradient_boosting,parked
VID_20260223_090217_00_003,13,7,3,4.583333492279053,4.75,0.16666650772094727,0.4527055621147156,77.68405151367188,78.98483276367188,1.32014799118042,0.43513248578470337,0.42517691047251105,0.45032958229644005,0.046404194086790085,17.621801702283662,17.440665535835883,17.918854462614252,16.540238110299455,16.32851907490377,14.605559349060059,14.41004467010498,14.755491256713867,14.41004467010498,,,,,,,,,,2.9547405813894327,1.0,,0.0,0.0,0.0,0.0,0.022742750123143196,17.9931176526969,16.896978802596237,0.0,,,18.000017166137695,1.3310362815856933,1.0,17.9931176526969,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,0.1707343190908432,0.09904377534985542,0.7302219033241272,shared_road,0.0,parked,shared_road,parked,0.8763622920801577,0.031812259544860576,0.0822849722699045,0.007664073469512881,0.0018764026355643166,0.8763622920801577,gradient_boosting,parked
VID_20260223_090217_00_003,26,2,5,15.25,15.75,0.5,0.5189794898033142,93.33770751953125,97.02468872070312,1.1498771905899048,0.42599057894033976,0.4092573458011208,0.4403405352339583,0.0585179328918457,13.928047503906384,13.51111069418992,13.949538997764158,13.014212849434822,11.949765263113306,11.582077980041504,11.38729190826416,12.283207893371582,11.38729190826416,3.3329905884384736,3.285337790857288,3.3630161064834128,,,,,,,4.932446140805142,1.0,1.5994555523666687,0.0,0.8,0.0,1.0,-0.040760982781648636,13.903358682025202,13.64115852744691,0.0,0.675727720747989,,10.0,1.8298165321350097,1.0,13.903358682025202,2.980889312229834,9.577093854624483,9.577093854624483,0.6043430028702254,0.5,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.7674321055412292,0.155901637673378,0.07666623964905739,separated_path,0.0,adjacent_same,separated_path,parked,0.960174492037138,0.004814546149566992,0.011765993237834187,0.02262433468762453,0.0006206338878362134,0.960174492037138,gradient_boosting,parked
VID_20260223_090217_00_003,30,2,89,19.83333396911621,27.33333396911621,7.5,0.7339510321617126,72.55783081054688,286.43707275390625,1.9709365367889404,0.1496815130918054,-0.06020816242565322,-0.5786299745648225,0.04345400631427765,6.751415540140976,-4.403636665914485,10.629495832171798,6.0316524801720295,0.0,15.597163200378418,2.7915098667144775,21.314361572265625,2.7915098667144775,4.043498771613378,-2.0028067150429645,5.7578098726668765,2.9031044267354424,3.598183563637805,0.0,0.5056179775280899,0.7415730337078652,0.16853932584269662,5.359230539038154,1.0,2.0923478622867933,0.0,0.011235955056179775,0.0,1.0,1.9572196006774902,-4.4786866875715745,-3.7910669129974006,0.12359550561797752,0.7544924112070543,0.6713992871602773,11.866666793823242,2.6330471515655516,1.0,4.4786866875715745,4.608802919109639,-45.34485969365691,45.34485969365691,0.8599747455418856,7.5,0.0027855553,0.19231626,0.80489814,0.0034121403,4.0,,,,,,,,,,,,,,,,,,,15.0,0.697274774312973,0.03518625348806381,0.26753896810114386,separated_path,8.0,adjacent_same,separated_path,parked,0.9820733354933174,0.0031999289662591897,0.013360734676274782,0.0009542943959328689,0.00041170646821566174,0.9820733354933174,gradient_boosting,parked
