card_id,video,frame,label,labeler,notes
S006_001,VID_20260224_162848_00_006,240,separated_path,claude-visual-review,
S006_002,VID_20260224_162848_00_006,720,separated_path,claude-visual-review,
S006_003,VID_20260224_162848_00_006,1200,separated_path,claude-visual-review,
S006_004,VID_20260224_162848_00_006,1680,separated_path,claude-visual-review,
S006_005,VID_20260224_162848_00_006,2160,separated_path,claude-visual-review,
S006_006,VID_20260224_162848_00_006,2640,separated_path,claude-visual-review,
S006_007,VID_20260224_162848_00_006,3120,separated_path,claude-visual-review,
S006_008,VID_20260224_162848_00_006,3600,shared_road,claude-visual-review,rightmost travel lane
S006_009,VID_20260224_162848_00_006,4080,shared_road,claude-visual-review,
S006_010,VID_20260224_162848_00_006,4560,bike_lane,claude-visual-review,
S006_011,VID_20260224_162848_00_006,5040,bike_lane,claude-visual-review,
S006_012,VID_20260224_162848_00_006,5520,shared_road,claude-visual-review,
S006_013,VID_20260224_162848_00_006,6000,bike_lane,claude-visual-review,
S006_014,VID_20260224_162848_00_006,6480,shared_road,claude-visual-review,
S006_015,VID_20260224_162848_00_006,6960,shared_road,claude-visual-review,
S006_016,VID_20260224_162848_00_006,7440,bike_lane,claude-visual-review,
S006_017,VID_20260224_162848_00_006,7920,shared_road,claude-visual-review,
S006_018,VID_20260224_162848_00_006,8400,bike_lane,claude-visual-review,
S006_019,VID_20260224_162848_00_006,8880,bike_lane,claude-visual-review,green conflict markings through intersection
S006_020,VID_20260224_162848_00_006,9360,bike_lane,claude-visual-review,green conflict markings through intersection
S006_021,VID_20260224_162848_00_006,9840,bike_lane,claude-visual-review,
S006_022,VID_20260224_162848_00_006,10320,shared_road,claude-visual-review,
S006_023,VID_20260224_162848_00_006,10800,shared_road,claude-visual-review,
S006_024,VID_20260224_162848_00_006,11280,bike_lane,claude-visual-review,
S006_025,VID_20260224_162848_00_006,11760,shared_road,claude-visual-review,
S006_026,VID_20260224_162848_00_006,12240,shared_road,claude-visual-review,
S006_027,VID_20260224_162848_00_006,12720,separated_path,claude-visual-review,
S006_028,VID_20260224_162848_00_006,13200,bike_lane,claude-visual-review,
S006_029,VID_20260224_162848_00_006,13680,shared_road,claude-visual-review,possible faded bike lane
S006_030,VID_20260224_162848_00_006,14160,bike_lane,claude-visual-review,
S006_031,VID_20260224_162848_00_006,14640,shared_road,claude-visual-review,
S006_032,VID_20260224_162848_00_006,15120,shared_road,claude-visual-review,
S006_033,VID_20260224_162848_00_006,15600,shared_road,claude-visual-review,
S006_034,VID_20260224_162848_00_006,16080,shared_road,claude-visual-review,
S006_035,VID_20260224_162848_00_006,16560,shared_road,claude-visual-review,
S006_036,VID_20260224_162848_00_006,17040,shared_road,claude-visual-review,
S006_037,VID_20260224_162848_00_006,17520,shared_road,claude-visual-review,
S006_038,VID_20260224_162848_00_006,18000,shared_road,claude-visual-review,
S006_039,VID_20260224_162848_00_006,18480,shared_road,claude-visual-review,
S006_040,VID_20260224_162848_00_006,18960,shared_road,claude-visual-review,
S006_041,VID_20260224_162848_00_006,19440,shared_road,claude-visual-review,
S006_042,VID_20260224_162848_00_006,19920,shared_road,claude-visual-review,
S006_043,VID_20260224_162848_00_006,20400,shared_road,claude-visual-review,
S006_044,VID_20260224_162848_00_006,20880,shared_road,claude-visual-review,
S006_045,VID_20260224_162848_00_006,21360,shared_road,claude-visual-review,
S006_046,VID_20260224_162848_00_006,21840,bike_lane,claude-visual-review,
S006_047,VID_20260224_162848_00_006,22320,shared_road,claude-visual-review,
S006_048,VID_20260224_162848_00_006,22800,shared_road,claude-visual-review,
S006_049,VID_20260224_162848_00_006,23280,separated_path,claude-visual-review,
S006_050,VID_20260224_162848_00_006,23760,shared_road,claude-visual-review,
S006_051,VID_20260224_162848_00_006,24240,shared_road,claude-visual-review,
S006_052,VID_20260224_162848_00_006,24720,shared_road,claude-visual-review,
S006_053,VID_20260224_162848_00_006,25200,shared_road,claude-visual-review,
S006_054,VID_20260224_162848_00_006,25680,separated_path,claude-visual-review,
S006_055,VID_20260224_162848_00_006,26160,unclear,claude-visual-review,parking garage entrance
S006_056,VID_20260224_162848_00_006,26640,separated_path,claude-visual-review,
S006_057,VID_20260224_162848_00_006,27120,shared_road,claude-visual-review,
S006_058,VID_20260224_162848_00_006,27600,shared_road,claude-visual-review,
S006_059,VID_20260224_162848_00_006,28080,shared_road,claude-visual-review,
S006_060,VID_20260224_162848_00_006,28560,shared_road,claude-visual-review,
S006_061,VID_20260224_162848_00_006,29040,shared_road,claude-visual-review,
S006_062,VID_20260224_162848_00_006,29520,unclear,claude-visual-review,parking garage
S006_063,VID_20260224_162848_00_006,30000,unclear,claude-visual-review,parking garage
S001_001,VID_20260209_090112_00_001,300,unclear,claude-visual-review,parking lot
S001_002,VID_20260209_090112_00_001,900,unclear,claude-visual-review,parking lot
S001_003,VID_20260209_090112_00_001,1500,shared_road,claude-visual-review,
S001_004,VID_20260209_090112_00_001,2098,shared_road,claude-visual-review,
S001_005,VID_20260209_090112_00_001,2698,shared_road,claude-visual-review,
S001_006,VID_20260209_090112_00_001,3298,separated_path,claude-visual-review,
S001_007,VID_20260209_090112_00_001,3898,shared_road,claude-visual-review,
S001_008,VID_20260209_090112_00_001,4496,shared_road,claude-visual-review,
S001_009,VID_20260209_090112_00_001,5096,shared_road,claude-visual-review,
S001_010,VID_20260209_090112_00_001,5696,separated_path,claude-visual-review,
S001_011,VID_20260209_090112_00_001,6294,separated_path,claude-visual-review,
S001_012,VID_20260209_090112_00_001,6894,shared_road,claude-visual-review,
S001_013,VID_20260209_090112_00_001,7494,shared_road,claude-visual-review,
S001_014,VID_20260209_090112_00_001,8092,shared_road,claude-visual-review,
S001_015,VID_20260209_090112_00_001,8692,shared_road,claude-visual-review,
S001_016,VID_20260209_090112_00_001,9292,shared_road,claude-visual-review,
S001_017,VID_20260209_090112_00_001,9892,shared_road,claude-visual-review,
S001_018,VID_20260209_090112_00_001,10490,shared_road,claude-visual-review,
S001_019,VID_20260209_090112_00_001,11090,shared_road,claude-visual-review,
S001_020,VID_20260209_090112_00_001,11690,shared_road,claude-visual-review,
S001_021,VID_20260209_090112_00_001,12288,shared_road,claude-visual-review,
S001_022,VID_20260209_090112_00_001,12888,shared_road,claude-visual-review,
S001_023,VID_20260209_090112_00_001,13488,shared_road,claude-visual-review,
S001_024,VID_20260209_090112_00_001,14086,shared_road,claude-visual-review,
S001_025,VID_20260209_090112_00_001,14686,shared_road,claude-visual-review,
S001_026,VID_20260209_090112_00_001,15286,shared_road,claude-visual-review,
S001_027,VID_20260209_090112_00_001,15886,shared_road,claude-visual-review,
S001_028,VID_20260209_090112_00_001,16484,bike_lane,claude-visual-review,
S001_029,VID_20260209_090112_00_001,17084,shared_road,claude-visual-review,
S001_030,VID_20260209_090112_00_001,17684,shared_road,claude-visual-review,
S001_031,VID_20260209_090112_00_001,18282,bike_lane,claude-visual-review,green bike lane through the intersection
S001_032,VID_20260209_090112_00_001,18882,shared_road,claude-visual-review,
S001_033,VID_20260209_090112_00_001,19482,bike_lane,claude-visual-review,
S001_034,VID_20260209_090112_00_001,20080,shared_road,claude-visual-review,
S001_035,VID_20260209_090112_00_001,20680,shared_road,claude-visual-review,
S001_036,VID_20260209_090112_00_001,21280,shared_road,claude-visual-review,
S001_037,VID_20260209_090112_00_001,21880,shared_road,claude-visual-review,
S001_038,VID_20260209_090112_00_001,22478,bike_lane,claude-visual-review,campus street bike lane
S001_039,VID_20260209_090112_00_001,23078,shared_road,claude-visual-review,
S001_040,VID_20260209_090112_00_001,23678,separated_path,claude-visual-review,
S001_041,VID_20260209_090112_00_001,24276,separated_path,claude-visual-review,
S001_042,VID_20260209_090112_00_001,24876,separated_path,claude-visual-review,
S001_043,VID_20260209_090112_00_001,25476,separated_path,claude-visual-review,
S003_001,VID_20260223_090217_00_003,240,separated_path,claude-visual-review,sidewalk beside a building
S003_002,VID_20260223_090217_00_003,720,shared_road,claude-visual-review,
S003_003,VID_20260223_090217_00_003,1200,shared_road,claude-visual-review,alley
S003_004,VID_20260223_090217_00_003,1680,shared_road,claude-visual-review,
S003_005,VID_20260223_090217_00_003,2160,shared_road,claude-visual-review,
S003_006,VID_20260223_090217_00_003,2640,shared_road,claude-visual-review,
